officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
15 Btn PAC Agra,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2226627,,Agra H.O,TPCL
509 Command S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2411107,,Agra H.O,TPCL
Achnera Mandi B.O,283101,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Achnera S.O,283101,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-265040,,Agra H.O,TPCL
Agra Barrcks S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2464180,,Agra H.O,TPCL
Agra Chauk S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2269143,,Agra Fort H.O,TPCL
Agra City S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2521863,,Agra Fort H.O,TPCL
Agra Fort H.O,282003,H.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2460761,,,TPCL
Agra H.O,282001,H.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2463886,,,TPCL
Agra University S.O,282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2522628,,Agra Fort H.O,TPCL
Agwar B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Aharan B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Akhabai B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Akola S.O (Agra),283102,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-97190112,,Agra H.O,TPCL
Anwal Khera B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Arela B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Arhera B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Arnota B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Arrua Khas B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Arsena B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Artoni B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Atoos B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Aulanda B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Avas Vikas Colony S.O,282007,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Sadar,agra,UTTAR PRADESH,0562-2605343,,Agra H.O,TPCL
Ayela B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
B.M. Khan S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2855155,,Agra H.O,TPCL
B.P Oilmill S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-92191831,,Agra Fort H.O,TPCL
B.V. Bichpuri S.O,283105,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2636700,,Agra H.O,TPCL
Bah S.O,283104,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05612-224123,,Agra Fort H.O,TPCL
Baharawati B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Bainpur B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Balu Ganj S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2463132,,Agra H.O,TPCL
Baman B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Bamnai Kalan B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Bamrauli Ahir B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Bamrauli B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Bamrauli Katara B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Barara B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Barauli Ahir B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Barauli Gujar B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
